at,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,review,label,Lable Confidence Score
2025-04-22 20:49:29,1,0,,,,,"bastard of bastard experience with indigo for PNR no DYJB3B. For 5 mins late, they charged 12 k rs. Flight time was 5:50 am from Ahmedabad to Hyderabad. We reached 4:55 am to Indigo desk. Then after multiple requests they have given ticket to next flight at 8:25. am. Which was departed before time 8:15 am Same happened with my actual flight as well. They departed before time. Do not go with indigo. Wastage of money. I will fire a case against this",payment issue,0.2488812953233719
2025-04-22 18:06:26,5,0,7.2.4,,,7.2.4,Customer support is excellent 👍 keep it up indigo.,customer service,0.8971340656280518
2025-04-22 16:17:05,5,0,,,,,Was able to enroll in BluChip Program and my recently booked flights are also available.,booking problem,0.31629255414009094
2025-04-22 00:40:37,1,0,7.2.4,,,7.2.4,"app user interface need to be faster , kindly work on it will update ratings once done",app slowness,0.6905959844589233
2025-04-21 17:57:07,1,0,7.2.4,,,7.2.4,"Too many issues..ex. - Blanks out on passenger edit page, keeps popping 'something went wrong', forces to select seat even when don't want to, forces email address while booking then disallows use of multiple emails for multiple bookings, too many options inside assistance request, slow response... And problems continue on website too.. if u manage to reach payment page - 'session expired'! Even after 2 hours unable to book tickets! Responsible management will never let such poor performance be!",offers issue,0.4158558249473572
2025-04-21 01:30:46,1,0,7.2.4,,,7.2.4,cannot use my 6e rewards,offers issue,0.6944037675857544
2025-04-20 21:02:23,1,1,7.2.4,,,7.2.4,Pathetic app and interface. The website is equally bad. IRCTC is light years ahead in terms of functionality and interface. Tickets booked through web do not appear in the app and vice versa. Web page doesn't function majority of the time to book tickets. Extremely buggy and slow. Being the sole profitable and large airline in India has gotten into their head and they've not bothered to get their mobile app right which is extremely critical.,booking problem,0.3457205295562744
2025-04-20 14:57:30,1,0,7.2.3,,,7.2.3,great cheat,offers issue,0.7801960110664368
2025-04-20 10:58:55,1,1,7.2.4,,,7.2.4,"Worst app, while web checking it's not permitting seat selection, showing as turbulence try after some time. again while doing web check in successfully completed displayed and boaring pass will be delivered before four hours of flight time. while re checking after some time auto web check in completed and displayed select seat, but I couldn't succeeded. before one hour i reached air port and tried for boarding pass at conter, they said rudely check in closed and you can't travel.",app slowness,0.4700402021408081
2025-04-20 09:43:13,5,0,7.2.4,,,7.2.4,Best flight ever I experienced☺️☺️,customer service,0.5932146906852722
2025-04-20 02:32:26,5,0,7.0.7,,,7.0.7,Average each,offers issue,0.5987242460250854
2025-04-19 21:38:41,1,0,7.2.4,,,7.2.4,"NOT ABLE TO SELECT SENIOR Citizen. Not user friendly Want to book tickets , unable to do so you need to pay attention about your app it is highly irritating ,Suprise to see you don't check or test your App well",booking problem,0.5780855417251587
2025-04-19 20:58:43,2,0,7.2.4,,,7.2.4,"as many commented, very dump application. operators are living in an old century, they do not get updated. difficult to work on this application and very slow.. only rounding, can not register easily.",app slowness,0.7402380108833313
2025-04-19 09:02:16,1,0,7.2.3,,,7.2.3,there are good app making people. why don't you take their help? The Best Airline in India has made such a dumb app. I hope You will work upon it and it will improve,offers issue,0.8605168461799622
2025-04-18 11:09:54,1,0,7.2.3,,,7.2.3,"the latest update doesn't allow me to log in, add flights to my trips or checkin. what's the use of such an app?",booking problem,0.46284711360931396
2025-04-18 11:09:53,5,0,7.2.3,,,7.2.3,excellent experience in travel through indigo air line 😃,customer service,0.9151399731636047
2025-04-17 21:55:58,1,0,7.2.3,,,7.2.3,trips are not shown. buggy interface.,offers issue,0.6160051822662354
2025-04-17 21:17:24,1,0,7.2.3,,,7.2.3,Keeps crashing,offers issue,0.9028652906417847
2025-04-17 18:21:15,1,0,7.2.3,,,7.2.3,worst app. it will not work 99% of the time,offers issue,0.6945343613624573
2025-04-17 02:41:27,1,0,7.2.3,,,7.2.3,lowest standard I Ever Been in any Flight,offers issue,0.8759650588035583
